Borough,Block,Lot,Address,ZIP Code,Final 18/19 Actual AV,Tax Class,Bldg. Class,RPIE Year,Status,X Coordinate,Y Coordinate,Latitude,Longitude,Community District,City Council District,Census Tract,BIN,BBL,NTA
Manhattan,134,1492,25 MURRAY STREET  #STOR5,10007,92242,4,RK,2017,Nonfiler,981932,199256,40.713588,-74.008361,101,1,21,1001451,1001347505,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,135,1101,18 WARREN STREET  #UNIT1,10007,321894,2C,R8,2017,Nonfiler,982149,199403,40.713992,-74.007579,101,1,21,1077807,1001357502,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,135,1201,86 CHAMBERS STREET  #C1,10007,960582,4,RK,2017,Nonfiler,982283,199597,40.714524,-74.007095,101,1,21,1079153,1001357504,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,135,1401,22 WARREN STREET  #1,10007,239501,2C,R8,2017,Nonfiler,982110,199427,40.714058,-74.007719,101,1,21,1001462,1001357505,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,136,24,116 CHAMBERS STREET,10007,900450,4,O5,2017,Nonfiler,981903,199828,40.715158,-74.008466,101,1,21,1001485,1001360024,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,137,1401,148 CHAMBERS STREET  #1,10007,148387,2C,R8,2017,Nonfiler,981490,200075,40.715836,-74.009956,101,1,21,1001496,1001377505,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,137,1501,146 CHAMBERS STREET  #C,10007,106184,2C,R8,2017,Nonfiler,981511,200063,40.715803,-74.00988,101,1,21,1001497,1001377504,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,140,1202,139 READE STREET  #139-C,10013,174956,4,RK,2017,Nonfiler,981556,200284,40.71641,-74.009718,101,1,21,1084396,1001407503,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,140,1215,143 READE STREET  #LOBBY,10013,147766,4,RK,2017,Nonfiler,981540,200294,40.716437,-74.009776,101,1,21,1084396,1001407503,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,140,1401,157 CHAMBERS STREET  #COM1,10007,1819863,4,RK,2017,Nonfiler,981409,200130,40.715987,-74.010248,101,1,21,1001505,1001407505,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,140,1402,157 CHAMBERS STREET  #COM2,10007,187588,4,RK,2017,Nonfiler,981409,200130,40.715987,-74.010248,101,1,21,1001505,1001407505,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,141,28,172 DUANE STREET,10013,888750,4,O2,2017,Nonfiler,981572,200570,40.717195,-74.009661,101,1,39,1001528,1001410028,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,141,1104,184 DUANE STREET  #4,10013,143797,4,RB,2017,Nonfiler,981410,200646,40.717403,-74.010245,101,1,39,1075718,1001417502,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,141,1607,138 READE STREET  #7GARG,10013,79764,2C,R8,2017,Nonfiler,981559,200289,40.716424,-74.009707,101,1,39,1087486,1001417507,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,143,1001,8 JAY STREET  #COMM,10013,734850,4,RK,2017,Nonfiler,981575,200865,40.718005,-74.00965,101,1,39,1001556,1001437501,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,144,1002,42 HUDSON STREET  #2FL,10013,158782,2C,R8,2017,Nonfiler,981744,200613,40.717313,-74.00904,101,1,33,1001573,1001447501,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,145,5,111 CHAMBERS STREET,10007,518086,2B,C7,2017,Nonfiler,981933,199817,40.715128,-74.008358,101,1,21,1001578,1001450005,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,145,1401,123 CHAMBERS STREET  #1,10007,64279,2C,R8,2017,Nonfiler,981839,199874,40.715285,-74.008697,101,1,21,1088443,1001457505,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,146,27,176 CHURCH STREET,10013,1029150,4,K4,2017,Nonfiler,982185,199976,40.715565,-74.007449,101,1,33,1001604,1001460027,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,146,1101,150 DUANE STREET  #COMM,10013,1393200,4,RK,2017,Nonfiler,982000,200301,40.716457,-74.008117,101,1,33,1001599,1001467502,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,146,1201,104 READE STREET  #COM 1,10013,723150,4,RK,2017,Nonfiler,,,,,,,,,,
